City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
539,Hohhot,CN,77.9,overcast clouds,40.8106,111.6522,Sheraton Hohhot Hotel
541,Ushirombo,TZ,70.18,clear sky,-3.4919,31.9639,Kigali Hotel
542,Kavali,IN,86.7,scattered clouds,14.9167,79.9833,Hotel Mourya Paradise
547,Senanga,ZM,65.8,clear sky,-16.1167,23.2667,Zango lodge
548,Puerto Del Rosario,ES,78.55,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
552,Komsomolskiy,UZ,81.82,clear sky,40.4272,71.7189,Ikathouse
554,Svetlyy,RU,66.25,clear sky,54.675,20.1347,"Gostinitsa-Kafe, Alena"
556,Ipixuna,BR,87.75,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
557,Huesca,ES,82.09,clear sky,42.1362,-0.4087,Hotel Sancho Abarca SPA Huesca
558,Kudahuvadhoo,MV,82.76,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
559,Meadow Lake,US,84.7,overcast clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
560,Creel,MX,72.77,few clouds,27.75,-107.6333,The Lodge at Creel Hotel & SPA
561,Wuwei,CN,77.29,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
568,Mogadishu,SO,76.66,few clouds,2.0371,45.3438,Hotel Juba
570,Wabana,CA,69.69,broken clouds,47.6332,-52.9481,Hotel Pavla
571,Mandalgovi,MN,65.01,broken clouds,45.7625,106.2708,В.Ганбат
572,Kagoro,NG,67.15,broken clouds,9.6,8.3833,Palm Garden Hotel
574,Bialogard,PL,74.75,overcast clouds,54.007,15.9875,"""100-SIO"" Apartamenty w Białogardzie"
576,Dong Hoi,VN,79.23,moderate rain,17.4833,106.6,Nam Long Hotel
577,Parati,BR,75.85,clear sky,-23.2178,-44.7131,Che Lagarto Paraty
578,Saint-Pierre,RE,68.29,broken clouds,-21.3393,55.4781,Lindsey Hôtel
580,Matay,EG,86.4,clear sky,28.419,30.7792,Nag Aespen
581,Weinan,CN,75.24,clear sky,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
585,Saint-Denis,FR,70.75,mist,48.9167,2.3333,ibis budget Paris Porte de Montmartre
586,Palamos,ES,82.38,clear sky,41.8484,3.1291,Hotel Aubí
588,Sai Buri,TH,77.83,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
589,Teruel,ES,80.08,overcast clouds,40.6667,-0.6667,La Parra
590,Lardos,GR,78.62,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
